Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,created_at,exclusion_reasons
transport_drivers,ros-drivers,A set of ROS2 drivers for transport-layer protocols.,https://github.com/ros-drivers/transport_drivers,175,116,78,22,ros2;transport-layer;transport-layer-protocol,Apache-2.0,True,True,False,False,False,True,good first issue,12,91,2019-08-08T14:14:44Z,10,653,0,code,Organization,175,11,116,C++;CMake;Python,5,45,56,17,33,11.2,117.68,1.15,0.16,0.99,1.47,2.07,0.62,0.0,79,ros-drivers/transport_drivers,humble|jazzy|kilted,2019-08-12T17:39:28Z,inactive_6mo
dolly,chapulina,"🤖🐑 It's a sheep, it's a dolly, it's a following robot. Dolly was born to be cloned.",https://github.com/chapulina/dolly,72023,241,63,10,differential-drive;follower;gazebo;hacktoberfest;ignition-gazebo;ignition-robotics;robot;robotics;robotics-simulation;ros;ros2;sheep,Apache-2.0,True,False,False,False,False,True,good first issue,4,39,2019-03-24T00:04:31Z,1,201,0,other,User,72023,5,241,C++;Python;GLSL;CMake;Shell,1,20,23,9,20,34.4,64.58,0.46,0.05,0.75,2.87,5.54,0.0,0.0,84,chapulina/dolly,humble|jazzy|kilted,2019-03-24T00:04:30Z,inactive_6mo
executive_smach,ros,A procedural python-based task execution framework with ROS integration.,https://github.com/ros/executive_smach,235,182,148,47,,Other,True,False,False,False,False,False,,26,241,2010-07-28T21:37:48Z,58,5641,0,code,Organization,235,17,182,Python;CMake,12,48,63,35,21,334.51,325.92,1.5,0.27,0.92,1.13,0.18,0.0,0.0,161,ros/executive_smach,humble|jazzy|kilted,2012-10-31T19:32:12Z,inactive_6mo
foros,42dot,Failover ROS framework,https://github.com/42dot/foros,2009,40,9,0,,Apache-2.0,True,False,True,False,False,True,good first issue,1,177,2021-10-13T08:06:28Z,1,3,0,docs,Organization,2009,5,40,C++;CMake;Shell,0,1,2,0,1,0.72,0.03,3.85,0.04,0.2,0.87,7.21,0.0,5.1,46,42dot/foros,humble,2022-05-04T02:30:42Z,inactive_6mo
gazebo_video_monitors,nlamprian,"Various Gazebo video plugins for capturing the operation of a robot, for monitoring during tests, etc.",https://github.com/nlamprian/gazebo_video_monitors,111,28,4,1,gazebo-plugins;gazebo-simulator,GPL-3.0,True,False,False,False,False,True,good first issue,2,41,2020-04-21T10:35:09Z,18,1415,0,code,User,111,3,28,C++;CMake;Python,0,1,1,1,0,0.01,,0.58,0.03,0.06,0.39,7.9,0.0,0.0,71,nlamprian/gazebo_video_monitors,humble,2020-04-16T16:51:51Z,inactive_6mo
system_modes,micro-ROS,System modes for ROS 2 and micro-ROS,https://github.com/micro-ROS/system_modes,497,46,13,23,modes;parametrization;ros;ros2,Apache-2.0,True,True,False,False,False,True,good first issue,6,124,2018-12-12T08:21:35Z,47,4522,0,code,Organization,497,11,46,C++;Python;CMake;C,4,42,56,19,23,23.83,70.44,1.43,0.07,0.15,0.53,4.53,4.98,0.0,87,micro-ROS/system_modes,humble|jazzy|kilted,2018-12-12T07:46:06Z,inactive_6mo
leo_simulator-ros2,LeoRover,,https://github.com/LeoRover/leo_simulator-ros2,142711,16,6,0,,MIT,True,False,False,False,False,True,good first issue,3,83,2023-09-28T13:16:42Z,50,1006749,0,config,Organization,142711,1,16,Python;C++;CMake,0,9,12,0,3,0.42,374.23,2.77,0.1,0.2,0.53,2.81,0.0,0.0,30,LeoRover/leo_simulator-ros2,humble|jazzy|kilted,2023-09-21T09:13:28Z,inactive_6mo
nao_lola,ros-sports,,https://github.com/ros-sports/nao_lola,135,11,8,2,,Apache-2.0,True,True,False,False,False,True,good first issue,2,111,2021-07-02T04:35:48Z,2,202,0,docs,Organization,135,2,11,C++;CMake,0,30,33,2,15,4.32,42.06,1.98,0.04,0.14,0.2,0.68,0.62,0.0,56,ros-sports/nao_lola,humble|jazzy|kilted,2021-07-02T04:35:47Z,inactive_6mo
rcss3d_agent,ros-sports,,https://github.com/ros-sports/rcss3d_agent,150,4,1,1,,Apache-2.0,True,True,False,False,False,True,good first issue,3,97,2022-01-14T03:41:50Z,6,312,0,config,Organization,150,1,4,C++;CMake,1,23,24,0,1,11.14,2.17,1.94,0.06,0.02,0.08,0.7,0.62,0.0,50,ros-sports/rcss3d_agent,humble|jazzy|kilted,2022-01-14T03:41:49Z,inactive_6mo
rmf_traffic_editor,open-rmf,"GUI, CLI, and ROS 2 messages for robot traffic flows in buildings",https://github.com/open-rmf/rmf_traffic_editor,35377,160,75,43,,Apache-2.0,True,False,False,False,False,True,good first issue,31,1025,2019-10-30T07:15:00Z,3,234,0,config,Organization,35377,32,160,C++;Python;CMake,3,357,392,40,108,24.76,88.56,13.31,0.43,0.97,2.08,2.65,0.0,0.0,77,open-rmf/rmf_traffic_editor,humble|jazzy|kilted,2019-10-30T07:15:00Z,inactive_6mo
