Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,created_at,exclusion_reasons
husarion_ugv_ros,husarion,ROS package for Panther and Lynx mobile robots,https://github.com/husarion/husarion_ugv_ros,15019,73,27,6,gazebo;ros2;ros2-control,Apache-2.0,True,False,False,True,False,True,good first issue,14,1377,2022-09-16T10:31:53Z,2,203,0,docs,Organization,15019,3,73,C++;Python;CMake;Shell;QML,1,568,619,5,13,5.01,52.12,32.79,0.36,0.64,1.74,16.18,0.0,0.0,42,husarion/husarion_ugv_ros,humble|jazzy,2022-09-16T10:31:52Z,inactive_6mo
leo_desktop-ros2,LeoRover,Desktop ROS2 packages for Leo Rover.,https://github.com/LeoRover/leo_desktop-ros2,23,0,0,0,robotics;ros2;ros2-foxy;rviz;rviz2,MIT,True,False,False,False,False,True,good first issue,1,22,2020-10-06T16:07:47Z,9,411,0,code,Organization,23,1,0,CMake,0,1,2,0,0,6.52,,0.47,0.02,0.0,0.0,0.7,0.0,0.0,47,LeoRover/leo_desktop-ros2,humble|jazzy|kilted,2022-04-07T11:31:18Z,inactive_6mo
marine_msgs,apl-ocean-engineering,"Messages for DVLs, multibeams, and imaging sonars.",https://github.com/apl-ocean-engineering/marine_msgs,113,46,27,17,,BSD-3-Clause,True,False,False,False,False,True,good first issue,7,61,2020-12-12T12:44:54Z,5,290,0,config,Organization,113,9,46,Python;CMake,4,27,33,13,15,34.12,192.81,0.97,0.13,0.43,0.73,2.28,0.0,0.0,63,apl-ocean-engineering/marine_msgs,humble|jazzy|kilted,2020-12-12T12:49:15Z,inactive_6mo
micro_ros_diagnostics,micro-ROS,Diagnostics framework for micro-ROS,https://github.com/micro-ROS/micro_ros_diagnostics,203,10,8,8,,Apache-2.0,True,True,False,False,False,True,good first issue,3,104,2020-12-11T08:24:00Z,4,355,0,docs,Organization,203,3,10,C;C++;CMake;Python,1,22,27,7,13,25.72,61.51,1.65,0.05,0.13,0.16,5.37,4.67,0.0,63,micro-ROS/micro_ros_diagnostics,humble|jazzy|kilted,2020-12-11T08:08:19Z,inactive_6mo
nao_interfaces,ijnek,,https://github.com/ijnek/nao_interfaces,60,3,1,0,,Apache-2.0,True,True,False,False,False,True,good first issue,2,78,2021-04-18T00:43:22Z,2,53,0,config,User,60,1,3,CMake,0,8,8,0,1,15.25,132.08,1.32,0.03,0.02,0.05,0.0,0.62,0.0,59,ijnek/nao_interfaces,humble|jazzy|kilted,2021-04-18T10:51:35Z,inactive_6mo
nodl,ubuntu-robotics,"CLI and parsing utilities for the ROS 2 NoDL ",https://github.com/ubuntu-robotics/nodl,194,10,10,2,,Apache-2.0,True,False,False,False,False,True,good first issue,7,107,2020-01-15T16:19:30Z,2,167,0,docs,Organization,194,9,10,Python,0,39,47,2,0,23.51,,1.45,0.12,0.14,0.14,1.98,0.0,0.0,74,ubuntu-robotics/nodl,humble|jazzy|kilted,2020-01-15T16:19:29Z,inactive_6mo
novatel_gps_driver,swri-robotics,ROS driver for NovAtel GPS / GNSS receivers,https://github.com/swri-robotics/novatel_gps_driver,524,176,138,30,,BSD-3-Clause,True,False,False,False,False,False,,21,220,2015-05-28T20:44:02Z,1,0,0,other,Organization,524,13,176,C++;CMake;Python,0,58,62,30,35,22.44,83.13,2.14,0.29,1.34,1.71,16.7,0.0,0.0,103,swri-robotics/novatel_gps_driver,humble|jazzy|kilted,2017-08-31T16:19:03Z,inactive_6mo
novatel_oem7_driver,novatel,ROS Driver for NovAtel OEM7 GNSS/SPAN Receivers,https://github.com/novatel/novatel_oem7_driver,8267,120,68,4,,MIT,True,False,False,False,False,True,good first issue,4,107,2020-03-31T23:39:35Z,123,7104,0,code,Organization,8267,9,120,C++;Python;Shell;CMake,0,12,17,4,75,31.72,254.83,1.49,0.07,0.94,1.67,3.09,0.0,0.0,72,novatel/novatel_oem7_driver,humble|jazzy|kilted,2020-03-31T22:55:07Z,inactive_6mo
ros2_ouster_drivers,SteveMacenski,"ROS2 Drivers for the Ouster OS-0, OS-1, and OS-2 Lidars",https://github.com/ros-drivers/ros2_ouster_drivers,242,147,82,23,drivers;ouster;ouster-sensor;ros;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,16,88,2019-12-29T05:14:25Z,24,4572,0,code,User,242,8,147,C++;Python;CMake,1,45,54,22,71,21.64,54.6,1.17,0.24,1.09,1.96,21.6,0.0,0.0,75,ros-drivers/ros2_ouster_drivers,humble,2019-12-29T05:13:01Z,inactive_6mo
ouxt_common,OUXT-Polaris,common settings for OUXT Polaris ROS2 packages.,https://github.com/OUXT-Polaris/ouxt_common,97,0,0,0,,Apache-2.0,False,True,False,False,False,True,good first issue,3,138,2021-09-06T16:47:05Z,2,30,0,config,Organization,97,4,0,CMake,0,36,48,0,14,0.57,0.0,2.56,0.06,0.0,0.0,0.0,0.62,0.0,54,OUXT-Polaris/ouxt_common,humble|jazzy|kilted,2021-09-06T16:37:02Z,inactive_6mo
psdk_ros2,umdlife,"This repository is a ROS 2 wrapper for the DJI PSDK libraries. ",https://github.com/umdlife/psdk_ros2,5211,120,29,32,,MPL-2.0,True,False,False,True,False,True,good first issue,12,592,2023-02-08T13:38:43Z,1,2,0,docs,Organization,5211,6,120,C++;CMake;Python,9,84,98,23,35,16.54,44.09,16.0,0.41,0.78,3.24,2.51,0.0,0.0,37,umdlife/psdk_ros2,humble,2023-02-08T13:38:42Z,inactive_6mo
raspimouse2,rt-net,ROS 2 node for Raspberry Pi Mouse,https://github.com/rt-net/raspimouse2,77,57,12,2,raspberry-pi-mouse;raspimouse;robot;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,7,62,2018-09-07T09:15:26Z,2,252,0,config,Organization,77,4,57,C++;CMake;Python,1,47,48,1,8,12.67,45.28,0.69,0.11,0.13,0.63,8.65,0.0,0.0,90,rt-net/raspimouse2,humble|jazzy|kilted,2018-09-07T09:15:26Z,inactive_6mo
rosbag2_bag_v2,ros2,rosbag2 plugin for replaying ros1 version2 bag files,https://github.com/ros2/rosbag2_bag_v2,505,46,5,8,,Apache-2.0,True,True,False,False,False,True,good first issue,12,111,2018-03-29T14:54:58Z,1,1,0,docs,Organization,505,12,46,C++;CMake;EmberScript;Python,1,23,31,7,12,12.82,42.47,1.34,0.17,0.06,0.55,5.3,0.62,0.0,83,ros2/rosbag2_bag_v2,humble,2019-04-23T17:03:49Z,inactive_6mo
ros2launch_security,osrf,Security extensions for ros2 launch,https://github.com/osrf/ros2launch_security,55,2,3,1,,Apache-2.0,False,True,False,False,False,True,good first issue,3,24,2021-01-26T01:06:01Z,2,220,0,docs,Organization,55,3,2,Python;C++;CMake,0,7,9,1,0,25.7,,0.39,0.06,0.05,0.03,0.0,0.89,0.0,62,osrf/ros2launch_security,humble|jazzy|kilted,2021-01-26T01:04:11Z,inactive_6mo
ros_testing,ros2,Single point of entry for writing tests which involve Nodes in ROS 2.,https://github.com/ros2/ros_testing,43,18,6,0,,Apache-2.0,True,False,False,False,False,True,good first issue,14,37,2019-04-25T17:56:26Z,3,307,0,config,Organization,43,20,18,Python;CMake,0,17,17,0,1,0.99,0.02,0.45,0.17,0.07,0.22,0.08,0.0,0.0,83,ros2/ros_testing,humble|jazzy|kilted,2019-04-25T17:56:25Z,inactive_6mo
rosidl_defaults,ros2,Default rosidl runtime and generators.,https://github.com/ros2/rosidl_defaults,682,2,13,2,,Apache-2.0,False,True,False,False,False,True,good first issue,30,538,2014-07-11T19:18:10Z,1,202,0,other,Organization,682,21,2,CMake,0,27,29,2,2,9.7,122.53,5.78,0.35,0.14,0.02,0.0,0.89,0.0,93,ros2/rosidl_defaults,humble|jazzy|kilted,2018-06-22T21:33:23Z,inactive_6mo
rqt_image_overlay,ros-sports,,https://github.com/ros-sports/rqt_image_overlay,197,13,6,5,,Apache-2.0,True,True,False,False,False,True,good first issue,5,198,2021-10-28T01:41:33Z,6,312,0,config,Organization,197,1,13,C++;CMake;Python,1,44,51,4,21,4.64,37.53,3.74,0.11,0.11,0.25,0.65,0.62,0.0,53,ros-sports/rqt_image_overlay,humble|jazzy|kilted,2021-10-28T01:41:32Z,inactive_6mo
rt_manipulators_cpp,rt-net,CRANE-X7とSciurus17を動かすC++ライブラリとサンプル集,https://github.com/rt-net/rt_manipulators_cpp,157,17,7,3,cpp;crane-x7;dynamixelsdk;robot;sciurus17,Apache-2.0,True,True,False,False,False,True,good first issue,2,35,2021-10-11T09:44:13Z,1,35,0,config,Organization,157,1,17,C++;CMake;Shell,1,33,33,2,1,14.51,0.04,0.66,0.08,0.13,0.32,4.91,1.8,0.0,53,rt-net/rt_manipulators_cpp,humble|jazzy|kilted,2021-10-11T09:37:02Z,inactive_6mo
stubborn_buddies,open-rmf,"Stubborn buddies is a buddy-based failover system, where two processes will watch each in order to always keep one or more ROS2 nodes active..",https://github.com/open-rmf/stubborn_buddies,24,1,1,1,,Apache-2.0,True,False,False,False,False,True,good first issue,2,9,2021-04-21T07:40:30Z,2,203,0,docs,Organization,24,3,1,C++;CMake,0,2,2,1,0,0.55,,0.15,0.07,0.02,0.02,0.16,0.0,0.0,59,open-rmf/stubborn_buddies,humble,2021-04-21T07:40:29Z,inactive_6mo
tf2_web_republisher,RobotWebTools,Republishing of Selected TFs,https://github.com/RobotWebTools/tf2_web_republisher,65,26,40,0,,Other,True,False,False,False,False,False,,12,68,2012-12-19T18:08:33Z,9,573,0,code,Organization,65,15,26,C++;Python;CMake,0,17,17,0,21,28.19,614.14,0.43,0.11,0.25,0.16,1.63,0.0,0.0,159,RobotWebTools/tf2_web_republisher,humble|jazzy|kilted,2012-12-19T18:10:46Z,inactive_6mo
topic_tools,ros-tooling,"Tools for directing, throttling, selecting, and otherwise manipulating ROS 2 topics at a meta-level.",https://github.com/ros-tooling/topic_tools,154,126,46,13,,Apache-2.0,True,True,False,False,False,True,good first issue,25,86,2021-04-23T17:38:43Z,5,266,0,docs,Organization,154,5,126,C++;Python;CMake;C,3,103,109,10,20,13.43,96.09,1.46,0.46,0.78,2.14,9.81,0.62,0.0,59,ros-tooling/topic_tools,humble|jazzy|kilted,2021-04-23T17:38:17Z,inactive_6mo
turtlebot4_desktop,turtlebot,TurtleBot 4 Desktop packages,https://github.com/turtlebot/turtlebot4_desktop,46,7,9,1,,Apache-2.0,True,False,False,True,False,True,good first issue,4,36,2022-02-11T19:06:17Z,11,1385,0,code,Organization,46,8,7,Python;CMake,1,6,6,0,2,4.51,99.2,0.73,0.08,0.18,0.14,0.2,0.0,0.0,49,turtlebot/turtlebot4_desktop,humble|jazzy,2022-02-08T21:04:44Z,inactive_6mo
wireless,clearpathrobotics,Making info about wireless networks available to ROS.,https://github.com/clearpathrobotics/wireless,98,26,15,1,,,False,False,False,False,False,False,,10,98,2013-03-04T18:49:10Z,14,162,0,config,Organization,98,44,26,C++;Python;CMake,0,21,23,1,2,26.84,355.43,0.63,0.09,0.1,0.17,0.0,0.0,0.0,156,clearpathrobotics/wireless,humble|jazzy,2013-03-04T18:55:54Z,inactive_6mo
zbar_ros,ros-drivers,Lightweight ROS wrapper for zbar barcode/qrcode reader library (http://zbar.sourceforge.net/),https://github.com/ros-drivers/zbar_ros,9547,60,60,1,,BSD-3-Clause,True,False,False,False,False,False,,9,79,2015-01-06T20:26:41Z,9,223,0,code,Organization,9547,45,60,C++;CMake,1,21,23,0,9,51.15,151.44,0.59,0.07,0.45,0.45,2.19,0.0,0.0,134,ros-drivers/zbar_ros,humble|jazzy|kilted,2015-01-10T18:51:55Z,inactive_6mo
canopen_inventus,clearpathrobotics,"ROS 2 CANOpen Inventus BMU driver ",https://github.com/clearpathrobotics/canopen_inventus,82,4,0,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,41,2025-04-09T20:34:55Z,11,793,0,code,Organization,82,1,4,C++;CMake,0,2,2,0,0,0.53,,3.73,0.27,0.0,0.36,1.93,0.0,0.0,11,clearpathrobotics/canopen_inventus,jazzy,2025-04-07T13:57:25Z,inactive_6mo
depth-obstacle-detect-ros,analogdevicesinc,depth_obstacle_detect_ros,https://github.com/analogdevicesinc/depth-obstacle-detect-ros,634,21,2,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,8,2025-03-18T14:51:20Z,1,2,0,docs,Organization,634,3,21,C++;CMake;Python,0,4,5,0,0,0.55,,0.67,0.25,0.17,1.75,3.4,0.0,0.0,12,analogdevicesinc/depth-obstacle-detect-ros,jazzy,2025-03-18T14:51:20Z,inactive_6mo
aandd_ekew_driver_py,TechMagicKK,,https://github.com/TechMagicKK/aandd_ekew_driver_py,39,0,0,2,,Apache-2.0,True,False,False,False,False,True,good first issue,3,26,2023-03-03T12:23:29Z,13,750,0,code,Organization,39,2,0,Python,0,2,2,2,1,0.86,0.77,0.72,0.08,0.0,0.0,3.15,0.0,0.0,36,TechMagicKK/aandd_ekew_driver_py,humble,2023-03-03T12:22:41Z,inactive_6mo
ackermann_msgs,ros-drivers,ROS messages for Ackermann steering,https://github.com/ros-drivers/ackermann_msgs,19,44,37,0,,BSD-3-Clause,True,False,False,False,False,False,,5,37,2012-02-11T02:35:54Z,6,61,0,config,Organization,19,7,44,CMake,0,2,8,0,15,160.29,126.43,0.24,0.06,0.24,0.28,0.36,0.0,0.0,156,ros-drivers/ackermann_msgs,humble|jazzy|kilted,2013-03-07T02:19:23Z,inactive_6mo
actuator_msgs,rudislabs,ROS 2 message interface for Actuators.,https://github.com/rudislabs/actuator_msgs,7,1,1,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,2,2023-04-01T03:39:41Z,13,317,0,docs,Organization,7,1,1,CMake,0,0,0,0,0,,,0.06,0.03,0.03,0.03,0.05,0.0,0.0,35,rudislabs/actuator_msgs,humble|jazzy|kilted,2023-04-01T02:33:47Z,inactive_6mo
adaptive_component,ros-acceleration,"A composable container for Adaptive ROS 2 Node computations. Select between FPGA, CPU or GPU at run-time.",https://github.com/ros-acceleration/adaptive_component,35,12,6,3,adaptive;component;cpu;fpga;gpu;hardware-acceleration;node;robotics;ros;ros2;som,Apache-2.0,True,False,False,False,False,True,good first issue,2,15,2021-11-09T09:33:23Z,5,346,0,code,Organization,35,2,12,C++;CMake,1,2,2,2,2,1.15,124.33,0.29,0.04,0.12,0.23,7.93,0.0,0.0,52,ros-acceleration/adaptive_component,humble|jazzy|kilted,2021-11-09T09:36:41Z,inactive_6mo
adi_3dtof_adtf31xx,analogdevicesinc,The ADI 3D ToF ADTF31xx is a ROS (Robot Operating System) package for working with ADI’s ADTF3175D ToF sensor.,https://github.com/analogdevicesinc/adi_3dtof_adtf31xx,3282,4,4,1,,BSD-3-Clause,True,False,False,False,False,True,good first issue,4,24,2023-07-31T15:07:13Z,1,2,0,docs,Organization,3282,7,4,C++;Python;CMake;C;Shell,0,7,7,1,3,0.04,212.47,0.75,0.16,0.12,0.12,15.99,0.0,0.0,32,analogdevicesinc/adi_3dtof_adtf31xx,humble,2023-07-31T15:07:13Z,inactive_6mo
adi_3dtof_image_stitching,analogdevicesinc,The ADI 3D ToF Image Stitching is a ROS (Robot Operating System) package for stitching Depth images from multiple ADTF3175D Time-Of-Flight sensors to expand the field of view.,https://github.com/analogdevicesinc/adi_3dtof_image_stitching,4987,16,6,1,,BSD-3-Clause,True,False,False,False,False,True,good first issue,3,25,2023-07-31T15:09:34Z,1,2,0,docs,Organization,4987,10,16,C++;Cuda;CMake;C,0,11,11,1,1,2.86,26.09,0.78,0.09,0.19,0.5,15.99,0.0,0.0,32,analogdevicesinc/adi_3dtof_image_stitching,humble,2023-07-31T15:09:34Z,inactive_6mo
iio_ros2,analogdevicesinc,adi_iio: ROS2 package to interface with IIO devices,https://github.com/analogdevicesinc/iio_ros2,2938,2,2,0,,Apache-2.0,True,True,False,False,False,True,good first issue,2,115,2025-01-27T13:38:51Z,11,678,0,code,Organization,2938,3,2,Python;C++;Makefile;CMake;Shell,0,15,15,0,0,15.15,,8.85,0.15,0.15,0.15,25.25,12.31,0.0,13,analogdevicesinc/iio_ros2,humble|jazzy|kilted,2025-02-13T10:21:10Z,inactive_6mo
affordance_primitives,PickNikRobotics,,https://github.com/PickNikRobotics/affordance_primitives,23,0,1,1,,BSD-3-Clause,True,True,False,False,False,True,good first issue,2,9,2021-10-29T18:51:47Z,11,1100,0,code,Organization,23,19,0,C++;CMake,0,1,1,1,0,0.01,,0.17,0.04,0.02,0.0,0.07,0.16,0.0,53,PickNikRobotics/affordance_primitives,humble,2021-10-29T18:57:22Z,inactive_6mo
ai_prompt_msgs,robosoft-ai,,https://github.com/robosoft-ai/ai_prompt_msgs,13,0,3,0,,Apache-2.0,True,False,False,False,False,True,good first issue,2,9,2024-06-25T21:34:49Z,2,202,0,docs,Organization,13,3,0,CMake,0,6,6,0,0,0.85,,0.43,0.1,0.14,0.0,0.32,0.0,0.0,21,robosoft-ai/ai_prompt_msgs,humble|jazzy,2024-06-25T21:34:48Z,inactive_6mo
ament_acceleration,ros-acceleration,"CMake macros and utilities to include hardware acceleration in the ROS 2 build system (ament) and its development flows. ",https://github.com/ros-acceleration/ament_hardware_acceleration,21,0,2,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,4,2021-10-20T13:34:59Z,8,515,0,config,Organization,21,2,0,CMake,0,0,0,0,2,,31.9,0.08,0.02,0.04,0.0,0.57,0.0,0.0,53,ros-acceleration/ament_hardware_acceleration,humble|jazzy|kilted,2021-10-20T13:28:37Z,inactive_6mo
ament_cmake_catch2,open-rmf,CMake macros for adding tests written using Catch2,https://github.com/open-rmf/ament_cmake_catch2,26,2,3,0,,Apache-2.0,True,False,False,False,False,True,good first issue,7,21,2019-08-21T06:25:59Z,1,201,0,other,Organization,26,8,2,CMake,0,6,7,0,1,23.65,19.71,0.35,0.13,0.05,0.03,0.1,0.0,0.0,60,open-rmf/ament_cmake_catch2,humble|jazzy|kilted,2021-03-05T07:22:42Z,inactive_6mo
ament_download,samsung-ros,Ament download package for ROS2-based CMakeLists,https://github.com/samsung-ros/ament_download,11,2,1,1,,Apache-2.0,True,False,False,False,False,True,good first issue,1,8,2019-10-17T00:08:10Z,2,203,0,docs,Organization,11,1,2,Python;CMake,1,1,1,0,1,0.79,91.28,0.1,0.01,0.01,0.03,0.49,0.0,0.0,77,samsung-ros/ament_download,humble|jazzy|kilted,2019-10-17T00:08:09Z,inactive_6mo
ament_nodl,ubuntu-robotics,Ament extension for exporting NoDL .xml files,https://github.com/ubuntu-robotics/ament_nodl,10,0,1,0,,Other,True,False,False,False,False,True,good first issue,1,6,2020-01-09T19:55:16Z,7,342,0,config,Organization,10,2,0,CMake,0,3,3,0,1,0.03,78.36,0.08,0.03,0.01,0.0,0.31,0.0,0.0,74,ubuntu-robotics/ament_nodl,humble|jazzy|kilted,2020-01-09T19:57:28Z,inactive_6mo
ament_vitis,ros-acceleration,CMake macros and utilities to include Vitis platform into the ROS 2 build system (ament) and its development flows.,https://github.com/ros-acceleration/ament_vitis,83,9,9,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,46,2021-02-19T17:25:00Z,9,393,0,config,Organization,83,3,9,CMake,0,0,0,0,1,,63.12,0.81,0.02,0.16,0.16,2.21,0.0,0.0,57,ros-acceleration/ament_vitis,humble|jazzy|kilted,2021-06-14T17:43:33Z,inactive_6mo
apriltag_mit,ros-misc-utilities,"The MIT implementation of the Apriltag detector, modified to build under ROS2",https://github.com/ros-misc-utilities/apriltag_mit,563,7,2,0,,LGPL-2.1,True,False,False,False,False,True,good first issue,2,35,2012-10-11T15:25:12Z,58,4315,0,code,Organization,563,1,7,C++;CMake,0,2,2,0,0,0.18,,1.52,0.13,0.09,0.3,2.21,0.0,0.0,23,ros-misc-utilities/apriltag_mit,humble|jazzy|kilted,2024-04-03T15:43:25Z,inactive_6mo
apriltag_msgs,christianrauch,AprilTag message definitions,https://github.com/christianrauch/apriltag_msgs,5,14,35,0,apriltags;ros2,,False,False,False,False,False,True,good first issue,1,12,2017-10-16T00:33:59Z,4,52,0,config,User,5,1,14,CMake,0,0,0,0,1,,18.38,0.12,0.01,0.35,0.14,0.0,0.0,0.0,101,christianrauch/apriltag_msgs,humble|jazzy|kilted,2017-10-16T00:25:47Z,inactive_6mo
as2_platform_crazyflie,aerostack2,,https://github.com/aerostack2/as2_platform_crazyflie,85,0,2,3,,BSD-3-Clause,True,True,False,False,False,True,good first issue,3,30,2024-04-23T10:59:49Z,1,18,0,docs,Organization,85,2,0,C++;Python;CMake,0,4,5,3,2,2.02,214.99,1.3,0.13,0.09,0.0,0.87,0.16,0.0,23,aerostack2/as2_platform_crazyflie,humble,2024-04-23T10:59:32Z,inactive_6mo
as2_platform_dji_osdk,aerostack2,,https://github.com/aerostack2/as2_platform_dji_osdk,59,0,1,3,,BSD-3-Clause,True,True,False,False,False,True,good first issue,3,15,2024-04-23T10:54:42Z,1,1,0,docs,Organization,59,1,0,C++;CMake;Python,0,3,3,3,1,2.99,8.89,0.65,0.13,0.04,0.0,0.02,0.16,0.0,23,aerostack2/as2_platform_dji_osdk,humble,2024-04-23T10:53:47Z,inactive_6mo
aws-robomaker-small-warehouse-world,aws-robotics,This Gazebo world is well suited for organizations who are building and testing robot applications for warehouse and logistics use cases.,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world,9674,456,123,4,gazebo;ros,MIT-0,True,True,True,False,False,True,good first issue,8,10,2020-05-01T23:09:08Z,124,72098,7,config,Organization,9674,20,456,CMake,2,14,17,2,8,13.85,37.29,0.14,0.13,1.76,6.51,4.94,3.23,0.3,70,aws-robotics/aws-robomaker-small-warehouse-world,humble|jazzy|kilted,2020-05-19T22:23:37Z,inactive_6mo
aws_sdk_cpp_vendor,wep21,,https://github.com/wep21/aws_sdk_cpp_vendor,11,1,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,1,14,2023-08-06T05:10:42Z,5,270,0,docs,User,11,1,1,CMake,0,0,0,0,1,,0.81,0.45,0.03,0.0,0.03,0.32,0.89,0.0,31,wep21/aws_sdk_cpp_vendor,humble|jazzy|kilted,2023-08-06T05:11:46Z,inactive_6mo
backward_ros,pal-robotics,,https://github.com/pal-robotics/backward_ros,413,240,34,7,,MIT,True,False,False,False,False,True,good first issue,26,196,2013-03-15T06:10:06Z,20,3321,0,code,Organization,413,9,240,C++;CMake;Python;Shell,4,9,11,3,13,24.91,445.09,2.06,0.35,0.36,2.53,0.68,0.0,0.0,95,pal-robotics/backward_ros,humble|jazzy|kilted,2018-04-09T07:51:23Z,inactive_6mo
bag2_to_image,wep21,,https://github.com/wep21/bag2_to_image,21,1,0,1,,Apache-2.0,True,True,False,False,False,True,good first issue,1,12,2022-07-02T05:27:07Z,8,423,0,code,User,21,1,1,C++;CMake,1,3,3,0,0,0.01,,0.27,0.05,0.0,0.02,0.67,0.62,0.0,44,wep21/bag2_to_image,humble|jazzy|kilted,2022-07-02T05:28:25Z,inactive_6mo
bcr_bot,blackcoffeerobotics,"A mobile robot simulation with differential drive, depth camera, IMU and 2D LiDAR that supports ROS, ROS2, Gazebo, Ignition, and ISAAC Sim",https://github.com/blackcoffeerobotics/bcr_bot,11202,341,68,3,gazebo-ros;gazebo-simulator;gazebosim;gz;ignition-gazebo;ignition-robotics;robotics;robotics-simulation;ros;ros2;ros2-humble,Apache-2.0,True,False,False,False,False,True,good first issue,6,58,2022-08-22T07:03:40Z,1,92,0,docs,Organization,11202,6,341,Python;Dockerfile;CMake,2,31,40,1,12,3.91,31.03,1.76,0.27,2.06,10.33,8.99,0.0,0.0,33,blackcoffeerobotics/bcr_bot,humble|jazzy,2023-06-28T14:49:42Z,inactive_6mo
bno055,flynneva,ROS2 driver for Bosch BNO055 using UART or I2C,https://github.com/flynneva/bno055,743,126,64,20,bno055;i2c;imu;ros2;ros2-driver;sensor-msgs;uart-communication,BSD-3-Clause,True,True,False,False,False,True,good first issue,11,152,2019-08-05T00:34:55Z,6,346,0,code,User,743,6,126,Python,2,41,44,18,19,14.61,127.32,1.92,0.15,0.81,1.59,5.47,0.24,0.0,79,flynneva/bno055,humble|jazzy|kilted,2019-08-05T00:36:12Z,inactive_6mo
bno08x_ros2_driver,bnbhat,ROS 2 Driver for BNO08x IMU from CEVA Hilcrest Labs,https://github.com/bnbhat/bno08x_ros2_driver,2179,8,9,7,,Apache-2.0,True,False,False,False,False,True,good first issue,2,35,2024-10-13T09:09:49Z,4,202,0,docs,User,2179,1,8,C;C++;CMake;Python,4,5,6,3,5,0.2,14.4,2.06,0.12,0.53,0.47,5.46,0.0,0.0,17,bnbhat/bno08x_ros2_driver,humble,2024-10-13T09:12:45Z,inactive_6mo
boost_geometry_util,OUXT-Polaris,,https://github.com/OUXT-Polaris/boost_geometry_util,49,0,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,3,53,2022-06-17T13:24:06Z,8,269,0,code,Organization,49,6,0,C++;CMake,0,18,42,0,0,2.38,,1.18,0.07,0.0,0.0,0.53,0.62,0.0,45,OUXT-Polaris/boost_geometry_util,humble|jazzy|kilted,2022-06-17T13:25:21Z,inactive_6mo
ros_canopen,ros-industrial,CANopen driver framework for ROS (http://wiki.ros.org/ros_canopen),https://github.com/ros-industrial/ros_canopen,42402,371,280,74,canopen;driver;ros;ros-industrial,LGPL-3.0,True,True,False,False,False,False,,24,1139,2014-05-16T06:38:34Z,4,898,0,config,Organization,42402,26,371,C++;CMake;Shell,15,188,220,59,193,39.13,110.48,8.14,0.21,2.0,2.65,0.65,4.22,0.0,140,ros-industrial/ros_canopen,humble|jazzy|kilted,2014-07-10T08:42:35Z,inactive_6mo
canboat_vendor,robotic-esp,Wrapper around the Canboat repo to get it building with Colcon,https://github.com/robotic-esp/canboat_vendor,13414,1,0,1,,Apache-2.0,True,False,False,False,False,True,good first issue,1,36,2025-05-12T19:51:24Z,5,72,0,config,Organization,13414,0,1,CMake,0,0,0,1,0,,,3.6,0.1,0.0,0.1,0.67,0.0,0.0,10,robotic-esp/canboat_vendor,humble|jazzy|kilted,2025-05-12T19:06:48Z,inactive_6mo
clearpath_ros2_socketcan_interface,clearpathrobotics,,https://github.com/clearpathrobotics/clearpath_ros2_socketcan_interface,57,0,1,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,5,48,2024-09-23T15:20:35Z,1,28,0,other,Organization,57,2,0,Python;C++;CMake;C,0,17,17,0,0,1.43,,2.67,0.28,0.06,0.0,0.04,0.0,0.0,18,clearpathrobotics/clearpath_ros2_socketcan_interface,humble|jazzy,2024-09-23T15:20:35Z,inactive_6mo
clips_vendor,carologistics,ROS 2 vendor package for the rule-based production system clips.,https://github.com/carologistics/clips_vendor,72212,1,0,0,,MIT-0,True,False,False,False,False,True,good first issue,2,39,2024-08-18T01:26:36Z,3,834,0,config,Organization,72212,3,1,CMake;Python,0,7,7,0,0,0.08,,2.05,0.11,0.0,0.05,3.71,0.0,0.0,19,carologistics/clips_vendor,humble|jazzy|kilted,2024-08-18T01:23:13Z,inactive_6mo
